t,deltaS
1,-2.686
2,0.08427
3,0.1307
4,0.246
5,0.03782
6,0.224
7,0.0678
8,0.2423
9,-0.003626
10,0.167
11,0.08612
12,-0.09777
13,0.2862
14,0.07653
15,0.07643
16,0.1965
17,-0.0003467
18,0.1747
19,0.04945
20,0.08525
21,1.459
22,-0.6783
23,1.135
24,0.209
25,0.3497
26,0.2314
27,0.7694
28,1.044
29,0.8381
30,0.8144
31,0.93
32,-0.1531
33,0.8623
34,0.3576
35,0.8331
36,0.7295
37,0.319
38,0.6426
39,0.6746
40,0.1036
41,0.05225
42,0.8185
43,0.6561
44,1.033
45,0.341
46,1.205
47,0.2063
48,1.17
49,0.8533
50,1.042
51,0.1721
52,1.361
53,0.3602
54,0.7264
55,0.5633
56,0.7944
57,0.3633
58,0.122
59,-0.5959
60,0.9343
61,0.7174
62,0.824
63,-0.2515
64,0.3374
65,-0.09898
66,0.5495
67,0.6893
68,0.1174
69,-0.3894
70,0.6398
71,0.3976
72,0.5761
73,0.5515
74,0.2205
75,0.772
76,-0.2432
77,0.2817
78,0.9298
79,0.1903
80,0.06803
81,0.7569
82,0.2899
83,0.4929
84,0.446
85,-0.5953
86,0.483
87,1.027
88,0.2976
89,0.1657
90,0.4947
91,0.5131
92,0.1077
93,-0.09712
94,0.1464
95,0.2503
96,-0.1914
97,0.132
98,0.814
99,0.3804
100,0.4651
101,-0.2205
102,-0.3509
103,0.3958
104,0.501
105,0.8766
106,0.09939
107,0.0081
108,1.102
109,0.3546
110,-0.8512
111,-0.3512
112,0.4276
113,-0.2192
114,0.8067
115,1.091
116,0.9077
117,0.7846
118,1.118
119,0.6369
120,-0.7076
121,-0.1322
122,0.3681
123,0.6714
124,0.05648
125,-0.5135
126,0.8924
127,-0.05885
128,0.613
129,0.5766
130,0.6297
131,0.7067
132,-0.2542
133,0.7316
134,0.3799
135,0.4042
136,0.6783
137,-0.5104
138,-0.6243
139,0.04435
140,0.956
141,0.158
142,0.2139
143,-0.2203
144,0.3391
145,-0.04283
146,0.1398
147,0.2084
148,0.7866
149,-0.7648
150,0.6413
151,0.6795
152,-0.5697
153,0.1541
154,0.5213
155,0.2708
156,0.2669
157,-0.4024
158,-0.07309
159,0.9151
160,0.9654
161,-0.2829
162,0.1337
163,0.4268
164,0.7484
165,-0.0133
166,-0.1027
167,-0.471
168,0.5039
169,-0.178
170,0.4039
171,0.9019
172,-0.3924
173,0.336
174,-0.612
175,-0.1179
176,0.6518
177,0.1153
178,-0.1296
179,1.056
180,-0.08803
181,0.4043
182,0.4284
183,-0.0188
184,-0.4507
185,-0.03605
186,0.02606
187,-0.007425
188,-0.06107
189,0.01829
190,0.1547
191,0.6232
192,-0.5697
193,0.08654
194,1.467
195,0.5052
196,-0.3517
197,-0.6908
198,-0.1674
199,-0.3338
200,0.09825
201,0.5273
202,0.8576
203,-0.1347
204,0.5487
205,0.4909
206,0.7755
207,0.5632
208,0.2988
209,-0.1435
210,-1.161
211,0.2641
212,0.2692
213,0.9123
214,0.2175
215,0.5663
216,0.173
217,-0.5036
218,0.2043
219,0.9694
220,0.05644
221,0.6532
222,-0.407
223,0.1579
224,1.468
225,0.26
226,-0.5309
227,0.1893
228,0.8632
229,1.244
230,0.6928
231,-0.6234
232,0.1332
233,0.4932
234,-0.5607
235,0.05837
236,1.055
237,-0.4925
238,-0.3578
239,0.5619
240,0.146
241,0.5003
242,-0.161
243,0.2097
244,0.005719
245,0.7273
246,0.2503
247,-0.7783
248,-0.1969
249,0.5478
250,-0.2301
251,0.4316
252,0.5873
253,0.6873
254,-1.088
255,-0.09081
256,-0.6022
257,0.4197
258,0.2792
259,-0.1795
260,-0.04502
261,0.22
262,0.2797
263,0.8237
264,-0.4603
265,0.01217
266,-0.4714
267,-0.2203
268,0.529
269,0.6604
270,-0.1757
271,-0.418
272,0.2221
273,-0.1118
274,0.2776
275,0.1889
276,-0.4567
277,-0.2908
278,-0.4756
279,0.249
280,-0.06452
281,0.504
282,0.8741
283,0.3832
284,0.2493
285,0.1274
286,0.4627
287,0.1963
288,0.08125
289,0.5277
290,0.1924
291,0.2384
292,0.4185
293,0.4357
294,-0.9062
295,-0.3179
296,-0.6224
297,0.6686
298,0.9322
299,-0.1973
300,0.2806
301,-0.125
302,0.2625
303,0.6082
304,0.2706
305,0.4454
306,0.358
307,0.209
308,0.3161
309,-0.6181
310,0.841
311,-0.6993
312,0.3621
313,0.03352
314,-0.4534
315,0.2297
316,0.2729
317,1.253
318,0.234
319,0.003716
320,0.8868
321,-0.2818
322,-0.3455
323,0.4363
324,-0.5411
325,0.4328
326,0.01638
327,-0.4182
328,1.294
329,0.3495
330,-0.8657
331,-0.7223
332,0.3459
333,0.9473
334,0.1778
335,-0.1281
336,-0.2603
337,0.3038
338,0.7563
339,0.0779
340,-0.2624
341,-0.1737
342,1.049
343,0.2772
344,-0.2287
345,0.003526
346,0.3547
347,-0.08183
348,0.6035
349,-0.1164
350,0.2148
351,-0.2719
352,0.1815
353,0.7526
354,0.1563
355,-0.2865
356,0.5663
357,0.634
358,0.2522
359,0.3359
360,0.2889
361,0.2883
362,-0.1117
363,0.2187
364,0.1437
365,-0.8051
366,0.496
367,0.375
368,-0.142
369,-0.05532
370,0.9582
371,-0.08927
372,-0.331
373,0.05119
374,0.6535
375,0.2626
376,-0.1234
377,0.085
378,-0.1704
379,0.01624
380,0.4007
381,-0.3365
382,-0.2691
383,0.522
384,-0.2644
385,-0.2686
386,-0.1964
387,1.223
388,0.2835
389,-0.4509
390,0.4948
391,-0.2436
392,1.126
393,-0.1097
394,-0.404
395,-0.1205
396,0.3478
397,0.6075
398,-0.6821
399,-0.9724
400,0.7008
401,-0.1852
402,0.4674
403,0.2851
404,-0.2794
405,0.1857
406,0.09184
407,-0.02312
408,-0.4207
409,-0.5248
410,0.586
411,0.2356
412,-0.08468
413,0.1135
414,0.1303
415,-0.4678
416,-0.4001
417,-0.4068
418,0.9027
419,0.5314
420,0.2752
421,-0.2521
422,0.3108
423,-0.1424
424,0.5094
425,-0.8777
426,0.6093
427,0.005227
428,0.7753
429,-0.1995
430,0.3314
431,0.6298
432,0.5113
433,-0.07062
434,0.2955
435,0.3506
436,0.4843
437,-0.6217
438,0.9532
439,-0.1576
440,-0.9151
441,-0.2924
442,-0.9004
443,1.214
444,-0.08566
445,-0.72
446,0.5895
447,-0.3196
448,0.2315
449,0.5755
450,0.72
451,0.3501
452,-0.4704
453,-0.1473
454,-0.4216
455,0.06872
456,0.2392
457,-0.2642
458,0.6433
459,-0.5255
460,0.3767
461,0.05174
462,-0.218
463,0.2166
464,0.2302
465,0.8087
466,0.5125
467,0.04679
468,0.6512
469,0.4632
470,0.01084
471,-0.5164
472,0.6028
473,0.06168
474,-0.1751
475,0.5676
476,0.8686
477,-0.4941
478,0.6467
479,0.01218
480,-0.2374
481,-0.6061
482,0.01909
483,0.1239
484,-0.5194
485,0.4964
486,0.08018
487,0.8356
488,0.8135
489,0.05766
490,-0.07294
491,-0.7803
492,0.3907
493,0.7817
494,-1.023
495,-0.2357
496,-0.2669
497,0.1997
498,1.28
499,-0.3343
500,0.7931
501,-0.1153
502,0.0783
503,0.2386
504,-0.5753
505,0.583
506,0.0007988
507,-0.5911
508,-0.07668
509,0.4789
510,-0.05076
511,0.2282
512,0.5111
513,0.4809
514,-0.3495
515,0.1507
516,1.323
517,0.3317
518,0.3386
519,0.00433
520,-0.3488
