t,N_f,N_g
10,80,960
20,80,960
30,36,432
40,36,432
50,36,432
60,36,432
70,36,432
80,36,432
90,36,432
100,36,432
110,36,432
120,36,432
130,36,432
140,36,432
150,36,432
160,36,432
170,36,432
180,36,432
190,36,432
200,36,432
210,36,432
220,36,432
230,36,432
240,36,432
250,36,432
260,36,432
270,36,432
280,36,432
290,36,432
300,36,432
310,36,432
320,36,432
330,36,432
340,36,432
350,36,432
360,36,432
370,36,432
380,36,432
390,36,432
400,36,432
410,36,432
420,36,432
430,36,432
440,36,432
450,36,432
460,36,432
470,36,432
480,36,432
490,36,432
500,36,432
510,36,432
520,36,432
530,36,432
540,36,432
550,36,432
560,36,432
570,36,432
580,36,432
590,36,432
600,36,432
610,36,432
620,36,432
630,36,432
640,36,432
650,36,432
660,36,432
670,36,432
680,36,432
690,36,432
700,36,432
710,36,432
720,36,432
730,36,432
740,36,432
750,36,432
760,36,432
770,36,432
780,36,432
790,36,432
800,36,432
810,36,432
820,36,432
830,36,432
840,36,432
850,36,432
860,36,432
870,36,432
880,36,432
890,36,432
900,36,432
910,36,432
920,36,432
930,36,432
940,36,432
950,36,432
960,36,432
970,36,432
980,36,432
990,36,432
1000,36,432
1010,36,432
1020,36,432
1030,36,432
1040,36,432
1050,36,432
1060,36,432
1070,36,432
1080,36,432
1090,36,432
1100,36,432
1110,36,432
1120,36,432
1130,36,432
1140,36,432
1150,36,432
1160,36,432
1170,36,432
1180,36,432
1190,36,432
1200,36,432
